node_name,node_type,has_metadata_transport_type,metadata_transport_type,declared_dependencies,declared_config_env_vars,publish_topics_count,subscribe_topics_count,handler_transports_detected,classification,classification_reason
node_baseline_compare,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_build_dispatch_effect,effect,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_build_loop,compute,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_build_loop_orchestrator,orchestrator,true,kafka,,,12,2,kafka,config_required,"handler_transports=['kafka'], declared_dep_transports=[], config_env_vars=0, publish=12, subscribe=2"
node_bus_audit_compute,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ci_fix_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ci_rerun_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ci_watch,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_close_out,compute,true,kafka,,,3,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=3, subscribe=1"
node_closeout_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_code_embedding_effect,EFFECT,true,postgres,ProtocolCodeEntityRepository|embedding_model|qdrant,CODE_EMBEDDING_BATCH_SIZE|CODE_EMBEDDING_VECTOR_SIZE|EMBEDDING_MODEL_URL|QDRANT_CODE_COLLECTION|QDRANT_HOST|QDRANT_PORT,1,1,,config_required,"handler_transports=[], declared_dep_transports=['postgres'], config_env_vars=6, publish=1, subscribe=1"
